RP11-96K19.5	RP11-96K19.5
DRAM2	DRAM2
CEPT1	CEPT1
RP5-1180E21.5	RP5-1180E21.5
DENND2D	DENND2D
CHI3L2	CHI3L2
PIFO	PIFO
OVGP1	OVGP1
WDR77	WDR77
ATP5F1	ATP5F1
C1orf162	C1orf162
ADORA3	ADORA3
RAP1A	RAP1A
FAM212B	FAM212B
DDX20	DDX20
CTTNBP2NL	CTTNBP2NL
WNT2B	WNT2B
ST7L	ST7L
CAPZA1	CAPZA1
MOV10	MOV10
RP11-426L16.3	RP11-426L16.3
RHOC	RHOC
PPM1J	PPM1J
SLC16A1	SLC16A1
SLC16A1-AS1	SLC16A1-AS1
RP11-389O22.1	RP11-389O22.1
LRIG2	LRIG2
MAGI3	MAGI3
PHTF1	PHTF1
RSBN1	RSBN1
PTPN22	PTPN22
AP4B1-AS1	AP4B1-AS1
BCL2L15	BCL2L15
AP4B1	AP4B1
DCLRE1B	DCLRE1B
RP5-1073O3.7	RP5-1073O3.7
HIPK1	HIPK1
TRIM33	TRIM33
BCAS2	BCAS2
DENND2C	DENND2C
NRAS	NRAS
CSDE1	CSDE1
SIKE1	SIKE1
TSPAN2	TSPAN2
VANGL1	VANGL1
SLC22A15	SLC22A15
ATP1A1	ATP1A1
AL136376.1	AL136376.1
CD58	CD58
CD2	CD2
CD101	CD101
TTF2	TTF2
MAN1A2	MAN1A2
FAM46C	FAM46C
GDAP2	GDAP2
WDR3	WDR3
WARS2	WARS2
RP11-418J17.1	RP11-418J17.1
PHGDH	PHGDH
REG4	REG4
NOTCH2	NOTCH2
RP11-114O18.1	RP11-114O18.1
FAM72B	FAM72B
FCGR1B	FCGR1B
RP11-343N15.5	RP11-343N15.5
RP11-344P13.6	RP11-344P13.6
RP11-423O2.5	RP11-423O2.5
RP11-782C8.1	RP11-782C8.1
RP6-206I17.1	RP6-206I17.1
RP6-206I17.2	RP6-206I17.2
LINC00623	LINC00623
AL592284.1	AL592284.1
RP11-640M9.1	RP11-640M9.1
NBPF9	NBPF9
PDE4DIP	PDE4DIP
AL590452.1	AL590452.1
RP11-458D21.6	RP11-458D21.6
NOTCH2NL	NOTCH2NL
NBPF10	NBPF10
TXNIP	TXNIP
POLR3GL	POLR3GL
ANKRD34A	ANKRD34A
RP11-315I20.1	RP11-315I20.1
LIX1L	LIX1L
RBM8A	RBM8A
PEX11B	PEX11B
ITGA10	ITGA10
ANKRD35	ANKRD35
PIAS3	PIAS3
NUDT17	NUDT17
POLR3C	POLR3C
RNF115	RNF115
CD160	CD160
GPR89A	GPR89A
NBPF12	NBPF12
PRKAB2	PRKAB2
RP11-337C18.8	RP11-337C18.8
FMO5	FMO5
CHD1L	CHD1L
BCL9	BCL9
ACP6	ACP6
NBPF14	NBPF14
RP11-89F3.2	RP11-89F3.2
NBPF20	NBPF20
NBPF15	NBPF15
RP11-666A1.5	RP11-666A1.5
RP11-14N7.2	RP11-14N7.2
RP11-403I13.4	RP11-403I13.4
RP11-403I13.8	RP11-403I13.8
RP11-277L2.3	RP11-277L2.3
RP11-353N4.4	RP11-353N4.4
FCGR1A	FCGR1A
HIST2H2BF	HIST2H2BF
RP11-196G18.24	RP11-196G18.24
HIST2H2BE	HIST2H2BE
HIST2H2AC	HIST2H2AC
HIST2H2AB	HIST2H2AB
BOLA1	BOLA1
SV2A	SV2A
SF3B4	SF3B4
MTMR11	MTMR11
OTUD7B	OTUD7B
VPS45	VPS45
PLEKHO1	PLEKHO1
ANP32E	ANP32E
APH1A	APH1A
C1orf54	C1orf54
C1orf51	C1orf51
MRPS21	MRPS21
PRPF3	PRPF3
RPRD2	RPRD2
TARS2	TARS2
ADAMTSL4	ADAMTSL4
MCL1	MCL1
ENSA	ENSA
GOLPH3L	GOLPH3L
CTSS	CTSS
CTSK	CTSK
ARNT	ARNT
SETDB1	SETDB1
CERS2	CERS2
FAM63A	FAM63A
PRUNE	PRUNE
C1orf56	C1orf56
CDC42SE1	CDC42SE1
MLLT11	MLLT11
GABPB2	GABPB2
TNFAIP8L2	TNFAIP8L2
SCNM1	SCNM1
VPS72	VPS72
PIP5K1A	PIP5K1A
PSMD4	PSMD4
RP11-126K1.2	RP11-126K1.2
ZNF687	ZNF687
PI4KB	PI4KB
RFX5	RFX5
RP11-126K1.6	RP11-126K1.6
PSMB4	PSMB4
POGZ	POGZ
TUFT1	TUFT1
SNX27	SNX27
MRPL9	MRPL9
OAZ3	OAZ3
RP11-98D18.3	RP11-98D18.3
TDRKH	TDRKH
RP11-98D18.9	RP11-98D18.9
RORC	RORC
C2CD4D	C2CD4D
THEM4	THEM4
S100A10	S100A10
S100A11	S100A11
S100A9	S100A9
S100A12	S100A12
S100A8	S100A8
S100A6	S100A6
S100A5	S100A5
S100A4	S100A4
S100A13	S100A13
CHTOP	CHTOP
SNAPIN	SNAPIN
ILF2	ILF2
INTS3	INTS3
SLC27A3	SLC27A3
GATAD2B	GATAD2B
DENND4B	DENND4B
CRTC2	CRTC2
SLC39A1	SLC39A1
CREB3L4	CREB3L4
JTB	JTB
RP11-422P24.11	RP11-422P24.11
RAB13	RAB13
RPS27	RPS27
TPM3	TPM3
C1orf43	C1orf43
UBAP2L	UBAP2L
HAX1	HAX1
AQP10	AQP10
ATP8B2	ATP8B2
RP11-350G8.5	RP11-350G8.5
IL6R	IL6R
UBE2Q1	UBE2Q1
ADAR	ADAR
PMVK	PMVK
RP11-307C12.13	RP11-307C12.13
PBXIP1	PBXIP1
PYGO2	PYGO2
RP11-307C12.12	RP11-307C12.12
SHC1	SHC1
CKS1B	CKS1B
FLAD1	FLAD1
ZBTB7B	ZBTB7B
ADAM15	ADAM15
EFNA4	EFNA4
EFNA3	EFNA3
SLC50A1	SLC50A1
DPM3	DPM3
KRTCAP2	KRTCAP2
TRIM46	TRIM46
THBS3	THBS3
MTX1	MTX1
GBA	GBA
FAM189B	FAM189B
SCAMP3	SCAMP3
CLK2	CLK2
FDPS	FDPS
RUSC1-AS1	RUSC1-AS1
RUSC1	RUSC1
ASH1L	ASH1L
MSTO1	MSTO1
YY1AP1	YY1AP1
DAP3	DAP3
GON4L	GON4L
SYT11	SYT11
RIT1	RIT1
KIAA0907	KIAA0907
ARHGEF2	ARHGEF2
RP11-336K24.12	RP11-336K24.12
SSR2	SSR2
UBQLN4	UBQLN4
LAMTOR2	LAMTOR2
RAB25	RAB25
LMNA	LMNA
SEMA4A	SEMA4A
SLC25A44	SLC25A44
PMF1	PMF1
BGLAP	BGLAP
SMG5	SMG5
TMEM79	TMEM79
C1orf85	C1orf85
CCT3	CCT3
C1orf61	C1orf61
MEF2D	MEF2D
TTC24	TTC24
APOA1BP	APOA1BP
GPATCH4	GPATCH4
ISG20L2	ISG20L2
RRNAD1	RRNAD1
MRPL24	MRPL24
HDGF	HDGF
PRCC	PRCC
SH2D2A	SH2D2A
ARHGEF11	ARHGEF11
ETV3	ETV3
